country_iso3code,year,indicator_code,indicator_value
BTN,2022,NY.GDP.MKTP.CD,2898227743.13545
BTN,2021,NY.GDP.MKTP.CD,2768802959.60794
BTN,2020,NY.GDP.MKTP.CD,2457604334.15915
BTN,2023,SP.POP.TOTL,786385.0
BTN,2022,SP.POP.TOTL,780914.0
BTN,2021,SP.POP.TOTL,775442.0
BTN,2020,SP.POP.TOTL,770006.0
BWA,2023,NY.GDP.MKTP.CD,19396084498.0084
BWA,2022,NY.GDP.MKTP.CD,20321958850.0363
BWA,2021,NY.GDP.MKTP.CD,18750946600.1423
BWA,2020,NY.GDP.MKTP.CD,14960291105.9316
BWA,2023,SP.POP.TOTL,2480244.0
BWA,2022,SP.POP.TOTL,2439892.0
BWA,2021,SP.POP.TOTL,2401441.0
BWA,2020,SP.POP.TOTL,2365894.0
CAF,2023,NY.GDP.MKTP.CD,2555492085.24831
CAF,2022,NY.GDP.MKTP.CD,2382618615.01694
CAF,2021,NY.GDP.MKTP.CD,2516498412.46384
CAF,2020,NY.GDP.MKTP.CD,2326720900.38047
CAF,2023,SP.POP.TOTL,5152421.0
CAF,2022,SP.POP.TOTL,5098039.0
CAF,2021,SP.POP.TOTL,5112100.0
CAF,2020,SP.POP.TOTL,5026628.0
CAN,2023,NY.GDP.MKTP.CD,2142470914401.36
CAN,2022,NY.GDP.MKTP.CD,2161483369422.01
CAN,2021,NY.GDP.MKTP.CD,2007472181464.15
CAN,2020,NY.GDP.MKTP.CD,1655684730000.19
CAN,2023,SP.POP.TOTL,40097761.0
CAN,2022,SP.POP.TOTL,38939056.0
CAN,2021,SP.POP.TOTL,38239864.0
CAN,2020,SP.POP.TOTL,38028638.0
CHE,2023,NY.GDP.MKTP.CD,884940402230.409
CHE,2022,NY.GDP.MKTP.CD,818426550206.45
CHE,2021,NY.GDP.MKTP.CD,813408787222.499
CHE,2020,NY.GDP.MKTP.CD,741999406005.627
CHE,2023,SP.POP.TOTL,8888093.0
CHE,2022,SP.POP.TOTL,8777088.0
CHE,2021,SP.POP.TOTL,8704546.0
CHE,2020,SP.POP.TOTL,8638167.0
CHI,2023,NY.GDP.MKTP.CD,12507927144.1342
CHI,2022,NY.GDP.MKTP.CD,11308300346.3725
CHI,2021,NY.GDP.MKTP.CD,11157002972.5829
CHI,2020,NY.GDP.MKTP.CD,9439810775.67214
CHI,2023,SP.POP.TOTL,167691.0
CHI,2022,SP.POP.TOTL,167215.0
CHI,2021,SP.POP.TOTL,166741.0
CHI,2020,SP.POP.TOTL,166235.0
CHL,2023,NY.GDP.MKTP.CD,335533331669.219
CHL,2022,NY.GDP.MKTP.CD,302116539409.03
CHL,2021,NY.GDP.MKTP.CD,315515014838.539
CHL,2020,NY.GDP.MKTP.CD,254042159309.311
CHL,2023,SP.POP.TOTL,19658835.0
CHL,2022,SP.POP.TOTL,19553036.0
CHL,2021,SP.POP.TOTL,19456334.0
CHL,2020,SP.POP.TOTL,19370624.0
CHN,2023,NY.GDP.MKTP.CD,17794783039552.0
CHN,2022,NY.GDP.MKTP.CD,17881782683707.3
CHN,2021,NY.GDP.MKTP.CD,17820459508852.2
